song_id,spotify_title,spotify_artist,emotion,score
42,The Chain - 2004 Remaster,Fleetwood Mac,anger,0.016961538461538462
42,The Chain - 2004 Remaster,Fleetwood Mac,disgust,0.008284615384615385
42,The Chain - 2004 Remaster,Fleetwood Mac,sadness,0.003176923076923077
19,HOT TO GO!,Chappell Roan,anger,0.029919220055710304
19,HOT TO GO!,Chappell Roan,disgust,0.002044568245125348
19,HOT TO GO!,Chappell Roan,anticipation,0.014626740947075209
19,HOT TO GO!,Chappell Roan,joy,0.014545961002785516
19,HOT TO GO!,Chappell Roan,trust,0.01324791086350975
19,HOT TO GO!,Chappell Roan,sadness,0.0021949860724233983
19,HOT TO GO!,Chappell Roan,surprise,0.0007604456824512535
19,HOT TO GO!,Chappell Roan,fear,0.0016963788300835654
26,Espresso,Sabrina Carpenter,anger,0.00867581047381546
26,Espresso,Sabrina Carpenter,anticipation,0.010261845386533665
26,Espresso,Sabrina Carpenter,joy,0.028703241895261848
26,Espresso,Sabrina Carpenter,surprise,0.009635910224438902
26,Espresso,Sabrina Carpenter,trust,0.012069825436408978
26,Espresso,Sabrina Carpenter,sadness,0.007790523690773069
26,Espresso,Sabrina Carpenter,fear,0.0036633416458852863
26,Espresso,Sabrina Carpenter,disgust,0.00399501246882793
27,Lovers Rock,TV Girl,disgust,0.002181132075471698
27,Lovers Rock,TV Girl,sadness,0.009550943396226415
27,Lovers Rock,TV Girl,trust,0.02048301886792453
27,Lovers Rock,TV Girl,anticipation,0.01936981132075472
27,Lovers Rock,TV Girl,joy,0.028430188679245287
27,Lovers Rock,TV Girl,surprise,0.012483018867924528
27,Lovers Rock,TV Girl,fear,0.0031849056603773583
54,Nope your too late i already died,wifiskeleton,fear,0.005683257918552036
54,Nope your too late i already died,wifiskeleton,sadness,0.008058823529411764
54,Nope your too late i already died,wifiskeleton,anticipation,0.008945701357466062
54,Nope your too late i already died,wifiskeleton,joy,0.012665158371040725
54,Nope your too late i already died,wifiskeleton,surprise,0.004416289592760181
54,Nope your too late i already died,wifiskeleton,anger,0.0012805429864253396
54,Nope your too late i already died,wifiskeleton,disgust,0.0006380090497737556
54,Nope your too late i already died,wifiskeleton,trust,0.009941176470588236
25,Red Wine Supernova,Chappell Roan,sadness,0.01736120401337793
25,Red Wine Supernova,Chappell Roan,surprise,0.0026622073578595317
25,Red Wine Supernova,Chappell Roan,joy,0.018789297658862874
25,Red Wine Supernova,Chappell Roan,trust,0.013163879598662206
25,Red Wine Supernova,Chappell Roan,anticipation,0.00577257525083612
25,Red Wine Supernova,Chappell Roan,disgust,0.003551839464882943
25,Red Wine Supernova,Chappell Roan,fear,0.0019331103678929765
29,Pink + White,Frank Ocean,anticipation,0.018710610932475887
29,Pink + White,Frank Ocean,trust,0.023514469453376208
29,Pink + White,Frank Ocean,sadness,0.012305466237942124
29,Pink + White,Frank Ocean,joy,0.030549839228295825
29,Pink + White,Frank Ocean,fear,0.013681672025723473
29,Pink + White,Frank Ocean,surprise,0.002209003215434084
29,Pink + White,Frank Ocean,anger,0.004334405144694534
29,Pink + White,Frank Ocean,disgust,0.006954983922829583
31,All I Need,Radiohead,anticipation,0.00909016393442623
31,All I Need,Radiohead,fear,0.0032049180327868854
31,All I Need,Radiohead,anger,0.011024590163934426
31,All I Need,Radiohead,disgust,0.008704918032786885
31,All I Need,Radiohead,joy,0.006024590163934426
31,All I Need,Radiohead,trust,0.00480327868852459
32,The Less I Know The Better,Tame Impala,joy,0.040428571428571425
32,The Less I Know The Better,Tame Impala,anger,0.0006363636363636363
32,The Less I Know The Better,Tame Impala,anticipation,0.024000000000000007
32,The Less I Know The Better,Tame Impala,disgust,0.002303030303030303
32,The Less I Know The Better,Tame Impala,fear,0.006636363636363636
32,The Less I Know The Better,Tame Impala,sadness,0.002909090909090909
32,The Less I Know The Better,Tame Impala,surprise,0.008658008658008658
32,The Less I Know The Better,Tame Impala,trust,0.0355930735930736
34,Taste,Sabrina Carpenter,sadness,0.0054301075268817205
34,Taste,Sabrina Carpenter,surprise,0.0008387096774193549
34,Taste,Sabrina Carpenter,fear,0.0028028673835125448
34,Taste,Sabrina Carpenter,joy,0.010397849462365593
34,Taste,Sabrina Carpenter,trust,0.012318996415770611
34,Taste,Sabrina Carpenter,anger,0.004182795698924731
34,Taste,Sabrina Carpenter,anticipation,0.005293906810035842
35,Juna,Clairo,anticipation,0.0072789115646258494
35,Juna,Clairo,joy,0.01025170068027211
35,Juna,Clairo,trust,0.004312925170068027
35,Juna,Clairo,anger,0.001034013605442177
35,Juna,Clairo,surprise,0.0031360544217687077
33,Headlock,Imogen Heap,joy,0.020166226912928756
33,Headlock,Imogen Heap,sadness,0.029168865435356208
33,Headlock,Imogen Heap,anticipation,0.02370712401055409
33,Headlock,Imogen Heap,surprise,0.031472295514511854
33,Headlock,Imogen Heap,trust,0.004944591029023746
33,Headlock,Imogen Heap,fear,0.029870712401055412
33,Headlock,Imogen Heap,anger,0.013773087071240109
33,Headlock,Imogen Heap,disgust,0.013192612137203167
37,WILDFLOWER,Billie Eilish,sadness,0.008175718849840254
37,WILDFLOWER,Billie Eilish,anticipation,0.02030351437699681
37,WILDFLOWER,Billie Eilish,joy,0.037891373801916935
37,WILDFLOWER,Billie Eilish,trust,0.03421086261980831
37,WILDFLOWER,Billie Eilish,disgust,0.0010990415335463259
37,WILDFLOWER,Billie Eilish,fear,0.010188498402555911
37,WILDFLOWER,Billie Eilish,anger,0.007169329073482429
37,WILDFLOWER,Billie Eilish,surprise,0.006412140575079873
38,Abracadabra,Lady Gaga,anticipation,0.02073333333333333
38,Abracadabra,Lady Gaga,joy,0.045518518518518514
38,Abracadabra,Lady Gaga,trust,0.026970370370370367
38,Abracadabra,Lady Gaga,sadness,0.02385925925925926
38,Abracadabra,Lady Gaga,disgust,0.015507407407407409
38,Abracadabra,Lady Gaga,anger,0.016803703703703703
38,Abracadabra,Lady Gaga,fear,0.02587037037037037
38,Abracadabra,Lady Gaga,surprise,0.007751851851851852
39,Sweater Weather,The Neighbourhood,anger,0.002379310344827586
39,Sweater Weather,The Neighbourhood,disgust,0.0024913793103448273
39,Sweater Weather,The Neighbourhood,fear,0.0019310344827586205
39,Sweater Weather,The Neighbourhood,sadness,0.006833333333333334
39,Sweater Weather,The Neighbourhood,joy,0.020307471264367816
39,Sweater Weather,The Neighbourhood,anticipation,0.007183908045977011
39,Sweater Weather,The Neighbourhood,trust,0.012551724137931035
39,Sweater Weather,The Neighbourhood,surprise,0.0009885057471264367
250,poster boy,2hollis,disgust,0.017902912621359224
250,poster boy,2hollis,sadness,0.010844660194174757
250,poster boy,2hollis,joy,0.020252427184466022
250,poster boy,2hollis,anticipation,0.005009708737864078
250,poster boy,2hollis,fear,0.0077669902912621365
250,poster boy,2hollis,anger,0.0048543689320388345
36,"Lover, You Should've Come Over",Jeff Buckley,sadness,0.017514534883720928
36,"Lover, You Should've Come Over",Jeff Buckley,trust,0.03712500000000001
36,"Lover, You Should've Come Over",Jeff Buckley,anticipation,0.041578488372093006
36,"Lover, You Should've Come Over",Jeff Buckley,joy,0.06470930232558142
36,"Lover, You Should've Come Over",Jeff Buckley,surprise,0.007334302325581396
36,"Lover, You Should've Come Over",Jeff Buckley,disgust,0.0033866279069767443
36,"Lover, You Should've Come Over",Jeff Buckley,anger,0.00472093023255814
36,"Lover, You Should've Come Over",Jeff Buckley,fear,0.005055232558139534
43,Ribs,Lorde,disgust,0.0055691906005221935
43,Ribs,Lorde,fear,0.013182767624020887
43,Ribs,Lorde,joy,0.04346475195822455
43,Ribs,Lorde,anger,0.005067885117493473
43,Ribs,Lorde,sadness,0.01114360313315927
43,Ribs,Lorde,anticipation,0.014527415143603133
43,Ribs,Lorde,surprise,0.006689295039164491
43,Ribs,Lorde,trust,0.027180156657963448
44,"Girl, so confusing featuring lorde",Charli xcx,trust,0.007711693548387097
44,"Girl, so confusing featuring lorde",Charli xcx,anger,0.009127016129032257
44,"Girl, so confusing featuring lorde",Charli xcx,disgust,0.006600806451612903
44,"Girl, so confusing featuring lorde",Charli xcx,fear,0.011100806451612903
44,"Girl, so confusing featuring lorde",Charli xcx,sadness,0.010508064516129033
44,"Girl, so confusing featuring lorde",Charli xcx,joy,0.005806451612903226
44,"Girl, so confusing featuring lorde",Charli xcx,anticipation,0.005445564516129033
44,"Girl, so confusing featuring lorde",Charli xcx,surprise,0.0016834677419354839
47,Guess featuring billie eilish,Charli xcx,surprise,0.044829545454545434
47,Guess featuring billie eilish,Charli xcx,sadness,0.005411931818181819
47,Guess featuring billie eilish,Charli xcx,anticipation,0.004815340909090909
47,Guess featuring billie eilish,Charli xcx,joy,0.00759375
47,Guess featuring billie eilish,Charli xcx,trust,0.0036392045454545457
